GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sometal WebApp,br.com.grandev.bean,PhotoBean,99,0,8,0,19,0,6,0,2,0
Sometal WebApp,br.com.grandev.bean,ClienteBean,202,0,8,0,79,0,22,0,18,0
Sometal WebApp,br.com.grandev.bean,FuncionarioBean,474,0,22,0,133,0,36,0,25,0
Sometal WebApp,br.com.grandev.bean,FornecedorBean,326,0,34,0,105,0,39,0,22,0
Sometal WebApp,br.com.grandev.bean,UsuarioBean,890,0,36,0,232,0,47,0,29,0
Sometal WebApp,br.com.grandev.bean,ContaBean,202,0,8,0,79,0,22,0,18,0
Sometal WebApp,br.com.grandev.bean,PontoBean,174,0,4,0,60,0,17,0,15,0
Sometal WebApp,br.com.grandev.converter,ValorConverter,113,0,14,0,25,0,10,0,3,0
Sometal WebApp,br.com.grandev.converter,ToUpperCaseConverter,19,0,2,0,5,0,4,0,3,0
Sometal WebApp,br.com.grandev.validator,EmailValidator,33,0,2,0,9,0,3,0,2,0
Sometal WebApp,br.com.grandev.model,FolhaDePonto,105,22,0,0,20,4,3,1,3,1
Sometal WebApp,br.com.grandev.model,Fornecedor,356,0,46,0,109,0,72,0,49,0
Sometal WebApp,br.com.grandev.model,Usuario,114,0,14,0,38,0,22,0,15,0
Sometal WebApp,br.com.grandev.model,Status,10,0,0,0,4,0,3,0,3,0
Sometal WebApp,br.com.grandev.model,Funcionario,226,0,16,0,81,0,51,0,43,0
Sometal WebApp,br.com.grandev.model,Conta,45,0,0,0,19,0,13,0,13,0
Sometal WebApp,br.com.grandev.model,Role,115,0,22,0,31,0,19,0,8,0
Sometal WebApp,br.com.grandev.model,Auth,0,121,3,35,0,33,3,23,0,7
Sometal WebApp,br.com.grandev.model,Ponto,45,0,0,0,19,0,13,0,13,0
Sometal WebApp,br.com.grandev.model,User,20,0,0,0,8,0,6,0,6,0
Sometal WebApp,br.com.grandev.model,Cliente,163,52,16,14,48,17,33,14,25,7
Sometal WebApp,br.com.grandev.util,Constants,3,0,0,0,1,0,1,0,1,0
Sometal WebApp,br.com.grandev.util,MD5Hashing,7,88,1,5,1,14,2,3,1,1
Sometal WebApp,br.com.grandev.util,JPAUtil,16,0,0,0,5,0,4,0,4,0
Sometal WebApp,br.com.grandev.util,MD5.MD5State,0,72,0,0,0,17,0,3,0,3
Sometal WebApp,br.com.grandev.util,MD5,210,1599,12,18,52,164,22,26,14,19
Sometal WebApp,br.com.grandev.util,FacesUtils,77,0,0,0,25,0,9,0,9,0
Sometal WebApp,br.com.grandev.util,DataUtil,237,0,52,0,80,0,35,0,9,0
Sometal WebApp,br.com.grandev.util,Paths,26,0,2,0,12,0,3,0,2,0
Sometal WebApp,br.com.grandev.util,MetricasDoProjeto,484,0,22,0,83,0,27,0,16,0
Sometal WebApp,br.com.grandev.daoImp,RoleDaoImp,99,0,4,0,31,0,7,0,5,0
Sometal WebApp,br.com.grandev.daoImp,ClienteDaoImp,3,0,0,0,1,0,1,0,1,0
Sometal WebApp,br.com.grandev.daoImp,PontoDaoImp,3,0,0,0,1,0,1,0,1,0
Sometal WebApp,br.com.grandev.daoImp,FuncionarioDaoImp,25,0,0,0,10,0,2,0,2,0
Sometal WebApp,br.com.grandev.daoImp,DaoGenericoImp,207,0,22,0,67,0,19,0,8,0
Sometal WebApp,br.com.grandev.daoImp,ContaDaoImp,3,0,0,0,1,0,1,0,1,0
Sometal WebApp,br.com.grandev.daoImp,FornecedorDaoImp,19,0,0,0,7,0,2,0,2,0
Sometal WebApp,br.com.grandev.daoImp,UserDaoImp,5,0,0,0,2,0,2,0,2,0
Sometal WebApp,br.com.grandev.daoImp,DaoGenericoUsersImp,160,0,18,0,56,0,16,0,7,0
Sometal WebApp,br.com.grandev.daoImp,UsuarioDaoImp,80,0,4,0,23,0,6,0,4,0
Sometal WebApp,br.com.grandev.service,PathServer,18,0,2,0,8,0,3,0,2,0
